article_text,category
"Birkenstock prices US IPO conservatively at $46 per share German premium footwear Birkenstock Holding chose to price its initial public offering (IPO) conservatively at the middle of its indicated price range at $46 per share on Tuesday, the company said.",business
IRM Energy IPO to open on October 18; sets price band at Rs 480-505 per share City gas distribution company IRM Energy Ltd on Wednesday fixed a price band of Rs 480-505 per share for its Rs 545-crore initial public offering (IPO).,business
"Bank of Baroda shares fall around 4% after RBI ban on adding new customers on app Shares of Bank of Baroda fell as much as 4 per cent on Wednesday, after the Reserve Bank of India (RBI) ordered the entity to stop adding customers to its mobile app, citing ""certain material supervisory concerns.""",business
Asian shares rise after eased pressure on bonds pushes Wall Street higher US futures were little changed and oil prices rose slightly.,business
"Markets recover: Sensex jumps 394 pts, Nifty above 19,800; Bank of Baroda slips after RBI ban Nifty PSU Bank slipped 0.73 per cent, led by a 3.22 per cent drop in Bank of Baroda shares, after the Reserve Bank of India (RBI) banned the lender from onboarding new customers via its mobile app.",business
"From capital to people, a lot at stake for India Inc in Israel-Palestine conflict Over 1,600 people have been killed so far since the escalation of conflict on Saturday, including 900 Israelis, and nearly 770 Palestinians in Gaza.",business
"Infra woes and labour issues apart, protectionism could deter investment flows: German envoy Currently, around 600 German companies associated with VDMA have subsidiaries present in India, out of which around 170 have production and/or assembly operations.",business
"New taxpayers, disclosures, tech help push direct tax mop-up: CBDT Chairman Gross direct tax collections have grown by 17.95 per cent to Rs 11.07 lakh crore so far this fiscal during April 1-October 9, while net direct tax mop-up, which factors in refunds, rose 21.82 per cent year-on-year to Rs 0.57 lakh crore.",business
"States borrowing cost soars to 7.68%, highest so far this fiscal The prices shot up reflecting the overall higher risk averseness of investors with the rising interest rates.",business
"RBI asks Bank of Baroda to suspend new customer onboarding on its mobile app Responding to the RBI's directions, the state-owned lender said it has already carried out corrective measures to address the concerns of the central bank, and has initiated further steps to plug any remaining gaps.",business
"Mukesh Ambani overtakes Gautam Adani to become richest Indian on Hurun list Gautam Adani's fortune fell by 57 per cent to Rs 4.74 lakh crore, amid a massive stock rout in his group firms this year, after a report by a US-based short seller against the group.",business
"IMF raises India’s GDP growth forecast marginally to 6.3% for FY24 IMF in July had estimated India's GDP forecast at 6.1 per cent for 2023-24. However, this is lower than the RBI's latest estimate of 6.5 per cent for the current financial year.",business
IMF outlook worsens for a world economy left ‘limping’ by shocks like Russia’s war The IMF said it expects global economic growth to slow to 2.9 per cent in 2024 from an expected 3 per cent this year. The forecast for next year is down a notch from the 3 per cent it predicted back in July.,business
"Moody’s feels India’s chip dreams could be headed for troubled waters as risks from climate change loom According to Moody’s risk management solutions, by 2050, the costs of flooding are expected to rise by around 30 per cent, from water stress by 35 per cent, sea level rise by 60 per cent, and heat stress by 150 per cent by 2050 under a moderate climate change scenario.",business
"India’s crude steel output grows to 70 MT in April-September period; trend to continue: SteelMint India's crude steel production rose 14.7 per cent to 69.65 million tonne (MT) during April-September period of 2023-24 fiscal year, according to SteelMint India.",business
"L&T bags ‘significant’ contracts for water, effluent treatment business L&T did not provide value of the contracts but said the orders fall under ""significant"" category, which ranges between Rs 1,000 crore and Rs 2,500 crore, as per its classification of contracts.",business
"Oil dips on investor caution as market eyes Middle East turmoil Oil prices eased on Tuesday after rallying more than 4% in the previous session, with traders cautious as they watched for potential supply disruptions amid military clashes between Israel and the Palestinian Islamist group Hamas.",business
Rate hopes push Asian shares higher while oil prices edge lower US futures rose while oil prices fell back slightly after surging Monday following Israel's declaration of war on Hamas following its surprise attack from the Gaza Strip.,business
"Global coal industry expected to layoff over 4 lakh miners by 2035: Report The coal industry is expected to shed more than four lakh mining jobs, equivalent to nearly 100 workers per day, by 2035, even without climate pledges or policies to phase out coal, with China and India likely to be the hardest hit, according to a new report.",business
"Sensex gains 567 pts, Nifty advances to 19,690; realty stocks shine, Coal India gains over 5% Only IndusInd Bank, Cipla, Dr Reddys and Titan closed on a negative note today in the Nifty 50 index.",business
"Unemployment rate drops to 6.6% in urban areas in Q1 Unemployment rate had shot up sharply during the lockdown imposed in 2020 during the first wave of the pandemic. The unemployment rate for urban females and males in 15-29 years age group stood at 36 per cent and 34.3 per cent, respectively, in April-June 2020.",business
"APSEZ stocks tank by 4.8% as firm readies a business continuity plan ""We are closely monitoring the action on ground, which is concentrated in South Israel. Haifa port in northern part of Israelis operational. We have taken measures to ensure safety of our employees and all of them are safe. We remain fully alert and prepared with a business continuity plan that will enable us to respond effectively to any eventuality,"" a spokesperson from the firm stated.",business
"BoB hikes retail term deposit rates by 50 bps across various tenors These new rates are applicable on deposits below Rs 2 crore with immediate effect, the bank said in a release.",business
Banks to see pressure on Q2 margins as cost of deposits surge even as lending rates stay flat Analysts do not expect any adverse asset quality trends during the quarter,business
Under pressure: Israel-Hamas war casts its shadow on markets The rupee settled flat at 83.27 against the US dollar amid a weak trend in domestic equities and surging crude oil prices in the international markets.,business
"India gets 5th set of Swiss bank account details under automatic info exchange framework This is the fifth such annual exchange of information between Switzerland and India with the officials saying that the new details shared with Indian authorities pertain to ""hundreds of financial accounts"", including many cases of multiple accounts associated with some individuals, corporates and trusts.",business
"GST Council to discuss on apportioning, renaming compensation cess beyond March 2026 Compensation cess was initially brought in for 5 years to make good the revenue shortfall of states following implementation of the Goods and Services Tax (GST).",business
"APSEZ stocks tank over 5% as firm readies business continuity plan amid Israel-Palestine war Israel witnessed an unprecedented multi-front attack by air, land and sea by Hamas, which rules the Gaza Strip, in its southern parts on Saturday morning.",business
"World Bank’s Banga faces pressure on resources, shareholder schisms Ajay Banga, just 130 days into the job, has a mandate to broaden the multilateral development lender's mission to tackle global crises including climate change, pandemics and fragile states.",business
Evergrande offshore bondholders surprised by debt restructuring regulatory hurdles China Evergrande Group's offshore bondholder group said on Monday it was surprised by the property developer's recent announcement that its offshore debt restructuring plan failed to meet regulatory requirements.,business
NLC India wins contract for power supply to Rajasthan at Rs 2.64 per unit State-owned firm NLC India Ltd (NLCIL) on Monday said it has emerged as the successful bidder for supply of power to Rajasthan at a tariff of Rs 2.64 per unit.,business
"Automobile retail sales jump 20% in September as demand soars in festive season Overall automobile registrations rose to 18,82,071 units last month from 15,63,735 units in September 2022, the Federation of Automobile Dealers Associations (FADA) said in a statement.",business
"Sensex slumps 483 pts, Nifty50 falls to 19,500 levels amid Israel-Palestine war; HCLTech, TCS rise Barring India Vix, which spurt over 12 per cent, all broader market indices plunged over 1 per cent today.",business
"Not much of a chance for a livable future without private communication: Signal President Meredith Whittaker, the President of the Signal Foundation – which runs the eponymous messaging app – said that privacy is about power asymmetries, with governments and corporations trying to leverage intimate information they have about people.",business
"Attack on Israel could boost appeal of gold and safe haven assets Rising geopolitical risk could see buying in assets like gold and the dollar and potentially boost demand for U.S. Treasuries, which have been sold off aggressively, analysts said.",business
"Inflation may ease below 4 per cent target in next fiscal: RBI “For 2024-25, assuming a normal monsoon, and no further exogenous or policy shocks, structural model estimates indicate that inflation will average 4.5 per cent, in a range of 3.8-5.2 per cent,” the RBI said in its Monetary Policy Report for October 2023.",business
"Inability to hike petrol, diesel prices ahead of 2024 LS polls to weaken OMCs’ profitability: Moody’s Although petrol and diesel prices are deregulated, the three OMCs in the past have kept fuel prices frozen around key elections, particularly if the global rates dictated a price increase.",business
52nd GST Council meeting: States flag issue of ‘retrospective taxation’ on online gaming firms Delhi Finance Minister Atishi said tax notices are being sent for a much higher amount than even the estimated valuation of the gaming industry.,business
Air India releases first look of A350 planes after major logo change The airline had rebranded itself earlier this year with a new logo 'The Vista' and a new red-aubergine-gold look.,business
"From note exchange to US Treasury yields, what RBI Governor said ""Bulk of Rs 2,000 notes have come back and so it has largely met our original objective of withdrawal of Rs 2000 notes,"" said RBI Governor Shaktikanta Das",business
"After RBI surprise on govt paper sales, bond yields spike over liquidity fears The yield on benchmark 10-year government bonds shot up by 12 basis points to 7.34 per cent, the highest level since March 23. The benchmark Sensex rose by 0.55 per cent, or 364 points, to 65,995.63.",business
"RBI cautions banks on unsecured personal loans, asks them to step up surveillance Banks and NBFCs would be “well-advised to strengthen their internal surveillance mechanisms, address the build-up of risks, if any, and institute suitable safeguards in their own interest,” RBI Governor Shaktikanta Das said",business
"‘Cautious optimism’: Experts welcome RBI’s move to continue with pause on repo rate hike BankBazaar CEO Adhil Shetty said, ""The RBI’s view is that developed economies are nearing a peaking of rates. This is welcome, although inflation is expected to remain elevated for longer than anticipated.""",business
"No major problem with central govt finances: RBI Governor The government has promised to stick to the fiscal deficit targets laid down in the budget as part of the consolidation roadmap, Shaktikanta Das told reporters at the RBI headquarters at the customary post-policy press conference.",business
"87% of Rs 2,000 notes came as bank deposits; Rs 12,000 crore of currency yet to return: RBI guv Das Addressing a press conference after the announcement of the bi-monthly monetary policy review, Shaktikanta Das said Rs 12,000 crore of the Rs 3.56 lakh crore worth of Rs 2,000 notes in circulation as on May 19, 2023 are yet to come back.",business
"RBI includes PM Vishwakarma under PIDF scheme; extends tenure of scheme by another two years As per the original plan, the tenure of PIDF scheme was fixed for three years till December 2023.",business
"Air India commissions mega warehouse facility in Delhi for storage of engineering spares Spread across 54,000 sq ft and located near Terminal 3, at Delhi Airport's cargo complex, Air India's centralised warehousing facility will improve the turnaround time of flights operating out of Delhi, the company said.",business
"MPC meeting: RBI leaves repo rate unchanged at 6.5% Unveiling the bi-monthly monetary policy review, Reserve Bank of India (RBI) Governor Shaktikanta Das said the domestic economy exhibits resilience on the back of strong demand.",business
"Global economy’s glide to ‘soft landing’ gets bumpy as bond yields jump The world's finance officials, who will gather in Morocco next week for the annual meetings of the International Monetary Fund and World Bank, may disagree over the exact drivers of a global bond rout that now appears to reflect more than guessing how far central bankers will raise interest rates.",business
"RBI Policy: MPC hits pause button for 4th time, repo rate unchanged at 6.5% RBI Monetary Policy: The Reserve Bank of India (RBI) Governor Shaktikanta Das on Friday announced that the monetary policy committee (MPC) has decided unanimously to keep the policy repo rate unchanged at 6.50 per cent.",business
"Sensex climbs 364 points, Nifty closes above 19,650 after RBI MPC policy; Bajaj duo shine BSE benchmark Sensex jumped 364.06 points, or 0.55 per cent to 65,995.63, while broader NSE Nifty50 gained 107.75 points, or 0.55 per cent to close the week at 19,653.50.",business
"OTT platforms do not fall under TRAI jurisdiction: Telecom disputes panel This is a significant position given that the TRAI and the Department of Telecommunications (DoT) are attempting to regulate OTT services, something that has been challenged by the IT Ministry, The Indian Express had earlier reported.",business
"Political stability, decisiveness key for Indian economy’s growth: FM On India’s inclusion in the JPMorgan bond index, Sitharaman said: “It shows a prospect for $23 billion to come to India. That is the kind of impact that inclusion into the JPMorgan bond index means.”",business
"Market capitalisation of PSU banks rises by up to 91% in Q3 S&P said India's banks, especially the state-owned lenders, have improved their key performance metrics in recent quarters, preparing them better for a challenging global environment.",business
"SAT sets aside SEBI’s insider trading order on Prannoy, Radhika Roy The impugned order passed by SEBI's whole time member against Prannoy Roy and Radhika Roy cannot be sustained, the SAT order said.",business
"As ATF prices surge, IndiGo introduces distance-based fuel charges of Rs 300-1,000 per sector According to the airline, the fuel charge will be based on distance slabs and will vary between Rs 300 and Rs 1,000 per sector",business
"RBI MPC expected to retain benchmark rate: Experts RBI Governor Shaktikanta Das-headed Monetary Policy Committee (MPC) started its three-day meeting on Wednesday, and the policy review will be announced on Friday morning.",business
"Evergrande crisis tests Beijing’s fallout management as creditor jitters mount As developer China Evergrande Group lurched from one crisis to another over the past two years, Beijing avoided directly intervening to rescue what was not too long ago considered one of the country's ""too big to fail"" enterprises.",business
"India extends tenure of SBI chairman until August 2024, says report The tenure of Dinesh Khara has been extended until he attains the age of 63 next year, a report said.",business
"Falling tomato prices drag down cost of thalis in September While the cost of a vegetarian thali was Rs 27.9 in September as against Rs 33.8 in August, non-vegetarian thali came down to Rs 61.4 from Rs 67.3 during the same period.",business
"UK regulator asks for antitrust probe into Amazon, Microsoft cloud dominance British media regulator Ofcom, which started looking into cloud services last year, had said in April it was particularly worried about the practices of AWS and Microsoft because of their market positions, and it planned to ask the competition regulator to investigate.",business
L&T bags various orders under different business units L&T on Thursday said its Buildings & Factories business has bagged several 'large' projects under its various business units.,business
"India’s services sector grew at faster pace in September, optimism at 9-year high S&P Global's India services purchasing managers' index rose to 61.0 last month from 60.1 in August, confounding expectations in a Reuters poll for a dip to 59.5.",business
"For India Inc, climate change is the new single biggest business risk From carmaker Hyundai to skincare company Emami and PepsiCo bottling firm Varun Beverages, unseasonal showers in summers, irregular weather patterns, and diverse rainfall patters – or climate change, in general – have started impacting the bottom line of India Inc.",business
"Sensex climbs 405 pts, Nifty advances to 19,545 as oil prices ease; L&T, Bajaj Auto shine Domestic equities jumped higher on Thursday after it's after two days of decline amid a recovery in global markets after oil prices and US yields eased.",business
"At Global Investor Summit in Delhi, MoUs inked worth over Rs 19,000 crore The flagship agreement involves a Rs 15,000 crore commitment from JSW Neo Energy for two pumped storage projects in Almora, aiming to generate employment, and contribute to the state’s development.",business
Lenders not enthused by Vedanta proposal for six-unit split: Official Lenders are not enthused by the proposal of Vedanta Ltd to split the company into six independent units as it’s expected to reduce the fungibility of cash flows across businesses and increase earnings volatility.,business
"RBI forms an external working group for expected credit loss-based framework In January this year, the RBI had released a discussion paper for adoption of an expected loss-based approach for loan loss provision by banks. The RBI had sought comments on the paper till February 28.",business
"35% of investment advisors still not registered, says SEBI Chairperson “We require investment advisors to register...There are a large number, some 35 per cent of investment advisors, still not registered,” Buch said at an event organised by the Association of Registered Investment Advisers (ARIA).",business
"Shell hikes diesel prices by Rs 20 a litre Shell India has hiked diesel prices by as much as Rs 20 per litre in less than a week's time, but the dominant public sector fuel retailers continue to keep rates on freeze for a record 18th month in a row.",business
TikTok ends retail business in Indonesia after ban on social media shopping The Chinese-owned video sharing app said in a statement it will stop facilitating e-commerce sales in TikTok Shop Indonesia by 5 pm Wednesday.,business
"Govt hikes LPG subsidy for Ujjwala beneficiaries by 50% to Rs 300 per cylinder With Wednesday’s decision, a 14.2-kg domestic LPG cylinder in Delhi will effectively cost Rs 603 for PMUY beneficiaries, while for other domestic consumers, it will continue to be priced at Rs 903.",business
RBI’s rate-setting panel starts deliberations amid expectation of status quo The monetary policy review will be announced on Friday morning by RBI Governor Shaktikanta Das.,business
"E-gaming cos offer cashbacks to ride out GST storm; consolidation looms large as smaller players lose out As online gaming companies are devising ingenious ways to compensate their customers for GST deductions on their deposits, industry executives say the move will force smaller firms to shut down and increase barriers for new entrants in the sector.",business
"Housing sales across top 8 cities at 6-year high in July-September quarter: Knight Frank Housing sales grew by 12 per cent year-on-year in July-September to 82,612 units -- six-year high in quarterly sales volume, across eight major cities on strong demand, according to Knight Frank.",business
"L&T bags ‘significant’ order from West Bengal Power Development Corp L&T did not provide the value of the contracts but said the orders fall under ""significant"" category, which ranges between Rs 1,000 crore and Rs 2,500 crore, as per its classification of contracts.",business
"India, Japan launch $600 million fund for low carbon emission projects The India-Japan Fund will target investment in sustainable projects in areas such as renewable energy, e-mobility and waste management, the NIIF, launched in 2015 as India's first state-backed fund, said in a statement.",business
"HCLTech, Business Finland team up to drive digital innovation in generative AI, metaverse HCLTech has entered into an agreement with Business Finland to drive innovation and growth in areas of generative AI, metaverse, space and quantum technologies.",business
"Oil dips on high interest rate worries, OPEC+ panel awaits Oil edged lower on Wednesday ahead of a panel meeting of OPEC+ ministers, as the market weighed expectations of supply tightness against fears that high interest rates could reduce fuel demand.",business
"Sensex falls 286 pts, Nifty settles at 19,436; PSBs, realty and media stocks top losers In the intraday session, Sensex touched a low of 64,878.77, down 633 points, and Nifty fell to 19,333.60, down 195 points.",business
"New proposal: States say will settle for lower, but an assured pension At present, while the government contribution is 14 per cent under NPS, an employee contributes 10 per cent of his salary plus DA.",business
"India’s Sept diesel exports to Europe highest so far in ’23 India’s diesel exports to Europe in September were at around 333,000 barrels per day (bpd), up nearly 47 per cent from August export volumes, and 57 per cent higher on a year-on-year basis, according to Vortexa data.",business
"Indian economy likely to grow at 6.3% in FY24: World Bank With inflation expected to remain sticky, the Monetary Policy Committee of the RBI, which will begin its meeting from Wednesday, is expected to keep the repo rate unchanged.",business
"E-gaming cos look to absorb GST through cashbacks, bonuses Fearing that passing on the GST deduction on deposits to their wallets could result in a loss of customers, many online gaming companies have decided to foot the bill for “as long as possible”, a senior gaming company executive told The Indian Express.",business
"India’s corporate credit rating upgrades moderate in H1 FY24 The number of corporates that witnessed credit rating upgrades in H1 of FY24 outnumbered those who faced downgrades, they said.",business
"Oil minister Puri urges OPEC to be pragmatic, make global crude prices affordable Hardeep Singh Puri on Tuesday urged oil producers’ cartel OPEC to “imbue a sense of pragmatism, balance and affordability in the oil markets”.",business
"SEBI announces system to report demise of investor After receiving intimation about the demise of an investor, the concerned intermediary will have to obtain the death certificate along with the PAN from the notifier or nominee and verify the death certificate through online or offline mode.",business
"LIC receives penalty order of Rs 84 cr from I-T dept Separately, general insurance player Bajaj Allianz General Insurance (BAGIC) has received a Rs 1,010 crore show cause cum demand notice from the Directorate General of GST Intelligence, Pune.",business
"LIC gets income tax penalty notice of Rs 84 cr; insurer to file appeal Penalty has been imposed on state-owned insurer for violation of sections 271(1)(c) and 270A of the Income Tax Act, 1961, it said.",business
"States’ borrowing cost soars to 23-week high of 7.56 pc On an annualised basis to the week, the states have drawn down 15.4 per cent more than what they had drawn in the same period last fiscal at Rs 19,500 crore.",business
"Sebi to introduce centralised mechanism for verification in case of demise of investors The new framework will come into effect from January 1, 2024, the Securities and Exchange Board of India (Sebi) said in a circular.",business
"Govt bans manufacturing, possession, imports of electric detonator from April 2025 In a notification, the Department for Promotion of Industry and Internal Trade (DPIIT) has said that the central government is of the opinion that electric detonator is of a ""dangerous"" character.",business
"India will manage if oil price goes over $100, says Hardeep S Puri India will manage if the price of oil goes above $100 per barrel even though such a price would not be in ""anyone's interest,"" the country's petroleum minister said on Tuesday at a conference in Abu Dhabi.",business
"JSW Infrastructure jumps 32% in trading debut JSW Infrastructure's stock made its debut at Rs 143, registering a jump of 20.16 per cent from the issue price on the BSE. It rallied 32.18 per cent to settle at Rs 157.30.",business
"Vedanta shares jump 5% in early trade after businesses spin-off annoucement Mining magnate Anil Agarwal's conglomerate on Friday announced a major business shake-up, with flagship Vedanta approving a spin-off of its metals, power, aluminium and oil and gas businesses into separate listed entities.",business
"India needs to grow closer to 8% to become a high-income country: World Bank In its India Development Update released Tuesday, the World Bank retained the GDP growth forecast from its previous update at 6.3 per cent for the financial year 2023-24.",business
"Russian rouble weakens past 100 to US dollar The Russian rouble weakened past the symbolic threshold of 100 to the dollar before recovering slightly in early trade on Tuesday, weighed down by foreign currency outflows and the country's shrinking current account surplus.",business
"India’s manufacturing PMI growth eases to 57.5 in September India's Manufacturing Purchasing Managers' Index, compiled by S&P Global, fell to 57.5 last month from 58.6 in August, missing the Reuters poll forecast for 58.1.",business
China Evergrande soars after property developer’s stocks resume trading Shares of debt-laden property developer China Evergrande Group soared Tuesday after they resumed trading in Hong Kong following a suspension last week.,business
"Bajaj Auto September sales down 1% at 3,92,558 units Bajaj Auto Ltd on Tuesday reported 1 per cent decline in total sales at 3,92,558 units in September 2023 compared to the same month last year.",business
"Sensex falls over 300 pts, Nifty slips to 19,522; energy, auto stocks top losers Bajaj Finance, L&T, Titan, Bajaj Finserv, Adani Ports, SBI, IndusInd Bank, UltraTech Cement, HCLTech, Asian Paints, Axis Bank, Hindustan Unilever, and Bharti Airtel were the net gainers in the Nifty 50 pack.",business
State govt employees regularised mid-career blame NPS for lower pension People aware of the Centre-state discussions insist this issue is different from the debate over the assured returns and market uncertainty for returns under the NPS.,business
SEBI extends deadline for listed companies to confirm or deny market rumours There were many instances in the past where manipulators floated rumours in the market to rig share prices.,business
"GST collection rises 10.2% to Rs 1.62 lk cr in Sep; crosses Rs 1.60 lk cr mark for 4th time in FY24 As a result, the total revenue for the month post settlement was Rs 63,555 crore for the Centre and Rs 65,235 crore for State GST.",business
"India’s crude oil imports – Russia, Iraq gain at Saudi Arabia’s expense in September India’s oil imports from Riyadh in September were at around 556,185 bpd, down nearly a third from August volumes. Between January 2022 and August 2023, the import volumes averaged at over 750,000 bpd.",business
"GST collection rises 10 pc to over Rs 1.62 lakh cr in Sep The revenue in September 2023 was 10 per cent higher than the GST revenue of Rs 1.47 lakh crore in the same month last year, the finance ministry said in a statement.",business
"ATF prices hiked by 5% to highest this year, may push up airfares in festive season With the latest price hike, jet fuel is now priced at Rs 1,18,199.17 per kilolitre (kl) in Delhi, Rs 1,10,592.31 per kl in Mumbai, Rs 1,26,697.08 per kl in Kolkata, and Rs 1,22,423.92 per kl in Chennai.",business
Amended norms for 28% GST on e-gaming kick in; companies raise concerns Gaming federation writes missive to Finance Ministry,business
"RBI extends deadline to exchange Rs 2000 currency notes till October 7 The RBI, however, said Rs 2000 banknotes will continue to be legal tender.",business
"Govt raises rate of 5-year RD, retains other small savings rates For October-December, interest rate for 5-year recurring deposit has been hiked to 6.7 per cent from 6.5 per cent, a hike of 20 basis points.",business
"FinMin notifies Oct 1 date for implementing amended provisions for e-gaming According to the changes to the Central GST Act, these supplies will be treated as “actionable claims” that are similar to lottery, betting and gambling and subject to 28 per cent GST on full face value of bets.",business
"Infra output grows 12.1% in August, fastest in over a year A sharp rise in output of electricity and coal could be attributed to deficient rainfall during the month, which could have spiked power demand. The cumulative rainfall in August was 33% lower than the long-period average (LPA).",business
"Foreign exchange reserves fall USD 2.33 bln to USD 590.70 bln Gold reserves were up by USD 307 million to USD 44.307 billion, the RBI said.",business
"Govt hikes interest rate to 6.7 pc on five-year recurring deposit, retains rate on other small savings schemes The interest rate on both the two-year and three-year term deposits is 7 per cent while on the five-year term deposit, the rate is 7.5 per cent.",business
"Vedanta to spin off; will demerge aluminium, oil and gas, power, steel into separate firms Vedanta, the Indian unit of UK-based Vedanta Resources, is currently valued at Rs 823.83 billion ($9.92 billion), having lost about a third of its market capital so far this year.",business
"Centre’s fiscal deficit at August-end touch 36% of full-year target: CGA In absolute terms, the fiscal deficit -- the gap between expenditure and revenue -- was Rs 6.42 lakh crore as of August-end, according to the data released by the Controller General of Accounts (CGA).",business
"BMW’s first fully electric car BMW iX1 xDrive30 sold out for 2023 on first day of launch: All you need to know BMW iX1 was launched on Thursday as a completely built-up unit at an ex-showroom price of Rs 66.9 lakh. BMW iX1 is the first-ever pure-electric version of the X1 and fifth EV launched by BMW India after the i7, iX, i4 and Mini SE.",business
"Japan’s Sony says India unit’s merger with Zee Entertainment likely delayed ""This transaction was expected to be completed by the end of the first half of fiscal year 2023, but based on the current state of preparation, we expect completion within the next few months,"" Sony said in a statement.",business
"Apple partner Acumen launches cohort to help uplift lives of poor while protecting environment Through the programme, Acumen said a group of 15 entrepreneurs will lead a 12-week program, which has been designed to help social entrepreneurs scale and refine their businesses to transform the lives of people living in poverty, while also protecting the environment.",business
"Jalan Kalrock Consortium infuses Rs 100 crore in Jet Airways The JKC (Jalan Kalrock Consortium) ""fulfilled"" its total financial commitment of Rs 350 crore to revive the airline, which would pave the way for it to take over the ownership of Jey Airways, it said in a statement.",business
"Air India acquires its first Airbus A350-900 via finance lease through GIFT IFSC The transaction was facilitated by AI Fleet Services Limited (AIFS), a wholly owned subsidiary of Air India, and a GIFT IFSC-registered finance company, the Tata group airline said in a release.",business
"India misses out on FTSE Russell government bond index inclusion ""Areas for improvement in the Indian government bond market structure highlighted by international investors remain largely unchanged from the previous March 2023 review,"" FTSE said in its annual country classification review for the FTSE Emerging Markets Government Bond Index (EMGBI).",business
"Tesla sued by US agency over alleged harassment of Black factory workers The US Equal Employment Opportunity Commission (EEOC) said in the lawsuit filed in federal court in California that from 2015 to the present, Black workers at the Tesla plant have routinely been subjected to racist slurs and graffiti, including swastikas and nooses.",business
"Sensex climbs 320 pts, Nifty advances to 19,637; pharma, healthcare and metal stocks rally In the intraday session, Sensex climbed 643.33 points, or 0.98 per cent to 66,151.65, and Nifty 50 touched an intraday high of 19,726.25, up 202 points, or 1 per cent.",business
"Oil spoils market mood; VIX rises 11% NSE Nifty 50 Volatility Index (VIX), which is a gauge of expected volatility over the course of the next 30 days, rose 11% — the most since March 13, according to Bloomberg.",business
"Tackling counterfeiting, tax evasion key to safeguarding economic stability: CBIC chief At the release of a report by industry body FICCI — ‘Hidden Streams: Linkages Between Illicit Markets, Financial Flows, Organised Crime and Terrorism’ — Agarwal said these issues have “socioeconomic implications and undermine national security”.",business
"SC allows SpiceJet to seek modification in HC order on employment, dues to staff In view of above facts, learned senior counsel appearing for the petitioners seeks permission to withdraw this Special Leave Petition with liberty to approach the High Court seeking modification of the order impugned,” the bench said in its September 22 order.",business
"Centre says ready to bring 28% online gaming GST from Oct 1; all states yet to pass laws All states are yet to pass the required legislative amendments or ordinances in their respective Assemblies for the proposed change in GST provisions for online gaming, casinos and horse racing.",business
"Air India frontline staff to soon have new uniforms; airline partners with fashion designer Manish Malhotra The airline has partnered with Malhotra to design new uniforms for more than 10,000 employees on the frontline, including cabin crew, cockpit crew, ground and security staff.",business
"Ashwin Dani, former Asian Paints chair, dies at 79 Asian Paints has a market capitalisation of Rs 3.04 lakh crore. It earned revenue of Rs 30,000 crore in FY23.",business
"OMCs incurring under-recoveries of over Rs 7/litre on petrol, diesel sales, says Nomura According to industry insiders, high under-recoveries in effect dash the hopes of a cut in petrol and diesel prices, at least for the time being.",business
"Increased monthly GST collections mainly on account of higher compliance: CBIC chief CBIC chief Sanjay Kumar Agarwal on Thursday said increased monthly GST collections are mainly on account of higher compliance, and the GST Council's decision to tighten return filing and registration process would help reduce fake ITC claims in evasion prone sectors, including iron and steel.",business
"Higher 20% TCS on overseas remittances, foreign tour packages kicks in from October 1 Currently, funds transferred overseas under the Reserve Bank's LRS attract 5 per cent Tax Collection at Source (TCS) on amounts exceeding Rs 7 lakh.",business
"Transport ministry finalising policy for using municipal waste in road construction: Nitin Gadkari Addressing a press conference, Nitin Gadkari said the government is considering offering incentives to construction equipment manufacturers for not using fossil fuels.",business
"P&G India announces Rs 300 cr fund for startups, innovators for supply chain solutions P&G Supply Chain Catalyst Fund will provide an opportunity to startups and innovators to collaborate with Procter & Gamble (P&G) India on customising business solutions, accelerating its journey towards Supply 3.0 initiatives, the company said.",business
"Yatra Online shares list on bourses at 10% discount By 12.50 pm, Yatra Online shares were trading at Rs 136.25 on BSE, around 5 per cent higher from its listing price, but nearly 4 per cent lower than its issue price.",business
"Current account deficit in April-June narrows from previous year but widens sequentially The widening of CAD on a quarter-on-quarter basis was primarily on account of higher trade deficit coupled with a lower surplus in net services and decline in private transfer receipts, the Reserve Bank of India said Thursday.",business
"Housing sales up 36% in July-September in top 7 cities to record 1,20,280 units: Anarock Housing sales stood at 88,230 units in the year-ago period across the seven major cities.",business
"ICICI Lombard gets Rs 1,728 cr GST demand notice The notice refers to matters relating to industry-wide issues, the company said, adding that it will file an appropriate response within the prescribed timelines.",business
"Vedanta to spin off four commodity companies: Report Vedanta will spin off its metals, power, aluminium and oil and gas businesses, with an official announcement likely to come this week, reported Reuters.",business
"Evergrande shares halted as concerns mount about developer’s prospect Trading in the shares of Evergrande and two of its units were suspended on Thursday, a day after Bloomberg reported that its Chairman Hui Ka Yan was taken away by police this month and was being monitored at a designated location.",business
"Sensex slumps 610 pts, Nifty falls to 19,523; IT, FMCG stocks drag, all sectors bleed All sectors closed on a negative note, as Nifty IT slipped 2.19 per cent, followed by Nifty FMCG at 1.91 per cent, Nifty Media at 1.40 per cent, Nifty PSU Bank at 1.13 per cent, and the consumer durables index at 1.12 per cent.",business
"Customers can invest in MFs using Visa debit card Launched in partnership with Razorpay, the service is now available to customers of Federal Bank and ICICI Bank.",business
"Moody’s downgrades Vedanta Resources, outlook remains negative Moody's said it has downgraded to Caa2 from Caa1, the corporate family rating (CFR) of Vedanta Resources Limited (VRL). At the same time, Moody's has maintained a negative outlook.",business
