processed_text,compound_score,sentiment
delay go ayodhya lalu prasad ailing septuagenarian took queries journalists one gates circular road government bungalow shares wife rabri devi former cm,-0.0258,neutral
war words flight delay crisis scindia calls tharoor critic aviation minister jyotiraditya scindia remarks came tharoor criticised centre handling ongoing flight crisis caused due fog national capital describing modi disaster,-0.9732,negative
modi message workers win booths win kerala modi returned kochi addressed gathering bjp termed lifeline party,0.8834,positive
seven including students staff members injured nit agartala bus falls pond chief minister manik saha instructed local administration extend support injured accident,-0.6249,negative
ram mandir pran pratishtha ceremony day ram lalla idol tour temple today inauguration ram temple ayodhya approached idol ram lalla crafted artist arun yogiraj set take tour temple grounds six days ceremony,0.0,neutral
sc directs dms sps yavatmal raipur districts ensure hate speeches made rallies petitioner sought revocation permission hold rallies bench refused saying already guidelines issued issue court check incidents,-0.5106,negative
true icon tamil cinema pm modi pays tributes mgr birth anniversary aiadmk general secretary edappadi k palaniswami paid tributes party founder g ramachandran urged party cadres work oust dmk government,0.802,positive
naxalite involved murders killed encounter dantewada naxalite killed encounter mangnar forest around km dantewada,-0.9325,negative
ram mandir highlights ram lalla idol installed ram mandir sanctum sanctorum ayodhya ayodhya ram mandir highlights jan ram lalla idol designed developed sculptor arun yogiraj,0.0,neutral
simultaneous elections kovind committee writes ec committee earlier month written former chief election commissioners seeking views matter also opened window public send suggestions january january,0.0258,neutral
fcra licence scrapped centre policy research says funding choked staff skeletal cpr established one country premier public policy think tanks seen fortunes reversed since september subjected survey income tax department,-0.4767,negative
pm modi visits guruvayur attends suresh gopi daughter wedding kerala visit prime minister narendra modi visited sree krishna temple guruvayur sree ramaswami temple thriprayar wednesday,0.0,neutral
india already experiencing ram rajya pm modi tripura cm manik saha tripura chief minister manik saha also credited pm narendra modi consecration ram temple years struggle,0.0516,positive
manipur asks centre helicopters two security personnel killed state last year chingtham anand kumar sdpo manipur police shot dead moreh,-0.8126,negative
mahua moitra served eviction notice vacate govt bungalow tmc leader mahua moitra expelled lok sabha december last year earlier asked vacate house january allotment cancelled,-0.7184,negative
ensure mukhtar ansari visited unforeseen situation sc directs govt bench justices hrishikesh roy prashant kumar mishra hearing plea filed umar ansari son mukhtar ansari raising issue safety security father even within jail premises also transfer prison outside,0.5423,positive
ayodhya diaries varieties agra famous petha delivered offering every section society cm yogi adityanath appeal public participation contributing ram temple inauguration expression devotion happiness,0.765,positive
amid talks indian troops repulsed two attacks chinese forces ladakh citations also mention special forces officer feeding chinese movements,-0.5267,negative
defence upgrade roadmap apex body led prime minister mod unit defence minister nsa service chiefs members academia industry,0.2023,positive
ayodhya rituals begin consecration new ram temple tuesday mishra began taking dip saryu river amid chanting mantras taking cow milk curd ghee gobar gau mutra began fast,0.0,neutral
sc allows water tank cleaning gyanvapi mosque survey may structure resembling shivling claimed found tank used muslims wuzu ritual,0.0,neutral
remarks pm degree sc stays defamation proceedings kejriwal sanjay singh refusing entertain plea transfer bench led gujarat high court seized petitions filed kejriwal singh challenging summons issued trial court ahmedabad consider grant interim relief,0.7003,positive
madhya pradesh officials fell short helping bhopal gas tragedy victims sc panel reveals bhopal disaster took place night december highly toxic gas leaked union carbide india limited ucil pesticide plant bhopal left thousands dead lakhs reeling effects,-0.9543,negative
modi gallery balakot moonshot india story progress told high tech dimensional experience includes motion chair effect cold air hot air mist lightning smoke smell according saurav bhaik ceo founder tagbin handled gallery technical execution,0.4215,positive
lok sabha elections shah nadda outline bjp campaign strategy key party meet addressing party leaders nadda said prime minister narendra government since coming power worked welfare poor india standing risen manifold second term country becoming fifth largest economy said party general vinod tawde,0.6124,positive
action corrupt people priority nda govt says pm citing report released niti aayog modi said almost crore people lifted poverty last nine years efforts government,-0.5106,negative
govt constitutes tribunal adjudicate declared banned outfit jammu group founded deceased separatist leader syed ali shah geelani declared outlawed government december unlawful activities prevention act five years,-0.4588,negative
bits goa students asked court community service stealing five students including two petitioners alleged stolen potato chips chocolates sanitisers pens notepads cellphone stands two desk lamps three bluetooth speakers stalls conference college campus november,-0.7845,negative
military strength rankings us powerful india position behind china india neighbour pakistan ranked ninth italy takes position,0.7184,positive
every fourth beneficiary added past months woman new beneficiaries added scheme viksit bharat sankalp yatra vbsy centre flagship initiative raise awareness schemes,0.743,positive
pm modi leads roadshow kochi visit temples kerala visit bjp ernakulam district president k shaiju said party workers would take part road show tuesday,0.4019,positive
namibian cheetah shaurya casualty number kuno eyes brother gaurav shaurya brother gaurav earlier named elton freddie conservationists namibia kuno earned moniker rock stars,-0.4767,negative
war rooms sufficient cisf manpower airports additional measures amid flight delays meanwhile one four runways delhi igi airport made cat means equipped handle aircraft extremely low visibility,-0.7425,negative
pdp leader waheed para seeks travel permission visit ailing nephew delhi nia objects waheed father ghulam ahmad para undergoing treatment cancer tata institute mumbai nephew admitted aiims life threatening disease,-0.8126,negative
manipur moreh tense curfew imposed day two held cop murder monday evening manipur police arrested philip khaikholal khongsai hemkholal mate stating among main suspects killing police officer sdpo october last year,-0.9538,negative
cm pinarayi vijayan ministers protest centre neglect towards kerala delhi feb kerala chief minister pinarayi vijayan cabinet ministers ldf mlas mps march kerala house jantar mantar february protest centre withholding money due state,-0.7184,negative
sharmila appointed new congress president andhra pradesh unit sharmila sister andhra pradesh chief minister jagan mohan reddy joined congress january delhi presence congress chief mallikarjun kharge rahul gandhi,0.0,neutral
attending ram temple consecration india bloc fight rahul gandhi said ram temple consecration ayodhya rahul gandhi said difficult us go political function designed around prime minister rss,-0.6249,negative
sc rejects chandrababu naidu plea quash fir skill development scam judges differ applicability sec pc act supreme court bench ordered matter involving former andhra pradesh cm chandrababu naidu placed chief justice india appropriate directions,0.0516,positive
jharkhand cm hemant soren agrees appear ed questioning jharkhand cm hemant soren questioned alleged case linked land scam ed issued seven summons soren refused questioned,-0.743,negative
krishna janmabhoomi case supreme court stays execution allahabad hc order shahi idgah survey krishna janmabhoomi case supreme court issued notice said proceedings allahabad high court continue,0.802,positive
early morning dense fog persists north india rail traffic affected wave cold wave warnings imd gripped punjab delhi,-0.4215,negative
aap congress come together chandigarh mayoral polls chandigarh mayoral elections held january,0.0,neutral
mlc bypoll date deferred january due public holiday ec shifted last date withdrawal candidature january january,0.4215,positive
jaishankar iran discusses chabahar red sea attacks part visit iran jaishankar called upon president ebrahim raisi conveyed prime minister narendra modi greetings also seeking raisi guidance development ties two nations,-0.0258,neutral
attacks ships vicinity india matter grave concern jaishankar red sea crisis jaishankar remarks came day missile fired houthis struck ship coast yemen gulf aden,-0.9337,negative
nhai prohibits cycles two movement national highways highways developed corridors maximum speed limits motor vehicles various descriptions highways fixed per relevant notifications,0.0,neutral
story ram possible without welfare poor pm disbursing rs crore vulnerable tribals pucca houses prime minister said underprivileged people given kisan credit cards,0.503,positive
akhilesh yadav dissolves samajwadi party mp unit entire unit state president ramayan singh dissolved instructions yadav sp national spokesperson yash bhartiya said,0.4019,positive
editors guild expresses concern draft broadcasting bill union information broadcasting ministry november published draft bill seeks regulate ott platforms news portals youtube journalists,0.0,neutral
week son murder suchana seth made another visit goa child monday children court panaji extended police remand five days,-0.6908,negative
one nation one election panel gets thousands responses simultaneous polls according sources around emails submissions feedback committee website received end last week,0.0,neutral
display updated info may cancel flights delayed beyond hours dgca airlines amid fog chaos also appropriate sensitisation airline staff airports suitably communicate continuously guide inform passengers flight delays according release,-0.765,negative
ram lalla idol sculpted arun yogiraj installed ayodhya champat rai secretary ram janmabhoomi teerth kshetra trust said total members trust chose idol based impression left,0.8176,positive
teen spent months jail spitting procession gets bail witnesses support prosecution case following arrest accused protests outfits ujjain district administration razed illegal constructions home,-0.8625,negative
modi putin discuss special strategic ties future roadmap russian state media said modi putin also discussed ukraine wished well elections,0.5859,positive
trying minimise impact disruptions delhi airport civil aviation minister jyotiraditya scindia delhi airport flight delays today disruption igi airport cascading effect airline networks across country,-0.5994,negative
cisf recovers smartphone let terrorist lodged jammu jail three mobile phones also found ground inside kot bhalwal jail searches,-0.6908,negative
suchana seth disclosing certain things goa police tell court refuses speak hearing goa murder case court panaji extended remand suchana seth ceo tech startup accused killing son five days,-0.8807,negative
strongest wall country pm modi president murmu laud army personnel army day army day celebrated india january every year commemorate day general cariappa took first indian army event marks transition indian army british control led indian officer,0.765,positive
row politics politics guarantee every country support us says jaishankar tensions india maldives rose recently three junior ministers island nation made disparaging remarks pm narendra modi visit lakshadweep islands,-0.296,negative
pran pratishtha ceremony highlights consecration rituals begin ayodhya ram temple today continue till jan ayodhya ram temple event live updates event scheduled held period seven days temple finally inaugurated january,0.0,neutral
old cave vaishno devi shrine reopened pilgrims natural cave annually reopened months january february rush low officials said,0.1027,positive
renowned poet munawwar rana dies age born rae bareli munawwar rana awarded gyanpeeth award use simple words poems made works popular among common people,0.8402,positive
agriculture ministry surrendered one lakh crore budget last years department surrendered rs crore rs crore rs crore,0.0,neutral
army let lt cols specialise niche tech opt command posts per cent lieutenant colonels approved rank colonel,0.4215,positive
govt release first instalment rs crore pucca houses lakh vulnerable tribal beneficiaries occasion prime minister narendra modi virtually interact beneficiaries pradhan mantri janjati adivasi nyaya maha abhiyan flagship central scheme launched november welfare pvtgs spread across states union territories,0.6808,positive
uttarakhand cm inaugurates cultural festival kainchi dham run ayodhya big event uttarakhand government announced dry day january,0.4939,positive
arunachal district tense clashes pilgrimage diverted precautionary measure namsai district administration issued prohibitory orders section crpc sunday,-0.34,negative
home secretary meets police chiefs uts introduction new criminal laws ministry home affairs mha likely notify three new criminal laws january centre decided form team officers coming months train police officers investigators forensic experts implement new laws,-0.7783,negative
maldives sets march deadline india pull troops amid deepening row discussed mutually workable solution continuing operation aviation platforms humanitarian aid says mea,0.3182,positive
hero missing movie flops lack snow hits gulmarg businesses higher reaches gulmarg affarwat kongdoori famous skiers paradise steep dizzying descents also without enough snow downhill skiing,0.4767,positive
infant mauled death dogs mp cm seeks people suggestions prevent incidents child attacked pack dogs bhopal ayodhya nagar wednesday video gruesome incident arm severed went viral social media,-0.8519,negative
said owaisi obc baba ramdev amid row viral video boycott patanjali calls following video numerous individuals social media initiated hashtag boycottpatanjali express protest criticise ramdev purported insult aimed backward community,-0.8591,negative
north india cold wave respite cold wave fog delhi shivers degrees celsius parts punjab haryana predicted grip cold severe cold day conditions till january cold wave conditions isolated pockets january,-0.5994,negative
bharat jodo nyay yatra highlights day corrupt chief minister india assam cm says rahul gandhi yatra reaches jorhat rahul gandhi bharat jodo nyay yatra highlights yatra assam eight days,0.0516,positive
people opposed ram chanting name per modi strategy rajnath singh defence minister said five hundred years continuous struggle justice done ayodhya,0.3612,positive
new high pm fasal bima area higher compared insured area accounted per cent total insured area pmfby highest years,0.0,neutral
sc slams delhi govt delay deciding remission pleas life convicts bench also comprising justices ujjal bhuyan hearing plea jem militant pakistan national shahid gafoor sought release saying already spent years prison,-0.6808,negative
manipur body missing person found thursday bodies ibomcha singh son anand singh neighbour romen singh found around two kms away village,-0.296,negative
india sees cases covid far karnataka reported highest number,0.0772,positive
double blow assam congress rout council elections state gen secy resigns north cachar hills autonomous council nchac elections took place january bjp retained power sweeping seats including six seats uncontested improving figures six,0.1531,positive
surjeet flagged canada offering shelter khalistan leaders writes brinda karat memoir karat adds surjeet also warned whipping communal sentiments platform called hindu suraksha samiti,-0.2732,negative
army launching operation sarvashakti flush terrorists operation lines sarpvinash launched terrorists south pir panjal range,-0.8271,negative
biometric system hints severe staff crunch medical colleges shortage faculty become acute sharp increase medical seats,-0.3182,negative
suchana seth husband brief confrontation goa police station seth ceo accused allegedly murdering son goa hotel trying flee body karnataka,-0.8316,negative
amid houthi crisis jaishankar iran bilateral talks jaishankar planned visit tehran comes backdrop growing global concerns houthi militants targeting merchant vessels red sea amid conflict,-0.6908,negative
maldives may small give license bully us president muizzu amid diplomatic row india statement completing maiden state visit china maldives president mohamed muizzu also asserted indian ocean belong specific country,-0.4939,negative
centre crop insurance scheme finds takers insured area accounted per cent total insured area pmfby highest years,0.0,neutral
amid border issue china expect aspects move ahead normally jaishankar external affairs minister jaishankar speaking rise geopolitics event nagpur,0.0,neutral
suchana seth husband tells police allowed see son learnt told police following family court order allowing visitation rights november met son least twice past five sundays wife allowing child meet father,0.0,neutral
uk envoy pakistan visits pok india says unacceptable union territories jammu kashmir ladakh shall always remain integral part india mea statement reiterated,-0.4588,negative
ed makes two fresh arrests mahadev betting app money laundering case agency earlier said alleged illegal funds generated app used pay bribes politicians bureaucrats state,-0.6808,negative
chasing monsoon years origin story india meteorological department long journey early days imd evolved massive organisation running hundreds permanent observatories thousands automatic weather stations covering every nook corner country,0.0,neutral
north india cold wave fog cold wave grip north india delhi shivers degrees celsius north india imd weather forecast parts punjab haryana chandigarh uttar pradesh delhi continue witness foggy weather next days imd forecast stated,0.0,neutral
meet indore mayor called ram temple replicas every shop warning joining politics pushyamitra bhargava served youngest additional advocate general madhya pradesh high court,-0.34,negative
hasina without hasina sheikh hasina returns power record fourth time row election marred opposition boycott allegations highhandedness new delhi needs look way,-0.3182,negative
religious leaders praise pm special ritual ahead ayodhya ceremony chidanand saraswati parmarth niketan ashram said modi call sparked enthusiasm adding people dedicate national cause,0.8481,positive
president murmu invited temple ceremony vhp delegation comprised vishva hindu parishad vhp president alok kumar rashtriya swayamsevak sangh leader ram lal ram temple construction panel chief nripendra mishra,0.0,neutral
macron diplomatic adviser eam discuss bilateral ties new delhi invitation macron republic day celebrations comes amid rapid upswing ties two countries including areas defence security clean energy trade investment new technologies,0.765,positive
kerala module case chargesheeted nia official said ashif nabeel members erstwhile national development front ndf well banned popular front india pfi committed murders pfi,-0.25,negative
cloud degree iim rohtak director faces probe money transfer indian express called sent text message sharma comment government inquiry unavailable,0.0,neutral
rajnath visit uk progress talks get key tech warships indian warships present electric propulsion systems currently powered diesel engines gas steam turbines queen elizabeth class aircraft carriers uk royal navy integrated full electric propulsion vessels,0.2023,positive
years iaf plane went missing debris found chennai coast defence ministry confirms wreckage board,-0.2023,negative
charioteer says advani piece ram temple movement published rashtradharma part special issue distributed consecration ceremony,0.4019,positive
debris unearths painful memories families plane went missing july flying chennai port blair september iaf declared presumed dead said search would continue,-0.8555,negative
killing manipur men forum demands new security adviser stating presence thousands central security personnel proved effective maintaining peace state group demanded effective control transferred state government,0.802,positive
sc sets aside hc order shift himachal dgp says form sit december last year high court asked state government remove kundu kangra sp shalini agnihotri connection matter,0.0258,neutral
last opportunity submit response identification minorities supreme court states april last year sc given states uts yet file response last opportunity,0.8481,positive
army vehicle attacked poonch district incident comes three weeks terrorists killing four soldiers injured three others attack near bafliaz poonch district,-0.9538,negative
sc notice mp hc removal six women judicial officers according former judicial officers removed without accorded reasonable opportunity hearing holding department enquiry ascertain justifiable reasons,-0.3252,negative
pdp calls mufti accident security lapse police counter charge j k police denied allegations stating category protectee mufti extensive sophisticated security arrangement,0.34,positive
iits iims among others submit papers impact smart cities mission housing urban affairs minister hardeep singh puri friday said mission hopefully achieve targets,0.6597,positive
ed arrests including former executives rs bank loan fraud case erstwhile bhushan steel limited ed initiated investigation basis prosecution complaint filed serious fraud investigation office sfio bhushan steel limited invoked scheduled offences prevention money laundering act,-0.9657,negative
tarun tejpal apologise national daily defamatory story army officer hc hearing appeal moved tejpal bahal july order single judge bench awarded rs crore damages ahluwalia defamation lawsuit loss reputation suffered account exposé news portal,-0.6124,negative
maoist commander murdered three family killed encounter strong possibility maoists getting injured said anjneya varshney sp bijapur district potam reward rs lakh government arrest,-0.7906,negative
mizoram forms panel resolve border dispute assam panel constituted notification january minister environment forests climate change state home department commissioner advisor chief minister chief secretary state dgp,-0.0258,neutral
friends congress say party decision stay away ram temple opening puri addressing annual press conference ministry work past year puri asked congress leaders declining invite asking shankarcharyas attending event,0.7506,positive
marathi news channel proprietors move hc suspension order second time channel taken air july lokshahi marathi taken air soon broke story alleged sex video bjp leader kirit somaiya,-0.4215,negative
attempt murder case sc grants protection arrest union minister nisith pramanik january calcutta high court declined grant pramanik relief adjourned hearing till january,-0.1531,negative
police record suchana seth disclosure statement take goa hotel recreate crime scene according call detail records seth receive make phone calls stay hotel,-0.5423,negative
write prescriptions good handwriting odisha docs state govt issued order following direction orissa hc says judges find difficult read medico legal reports handwriting become fashion among doctors,0.2263,positive
army convoy attacked suspected militants near poonch casualties reported joint search operations indian army jammu kashmir police underway per army white knight coros,-0.5994,negative
wreckage iaf aircraft traced years went missing personnel board aircraft went missing,-0.5267,negative
suchana seth case murdering son leaving note hotel room look top developments police earlier told indian express strained relations estranged husband custody battle may led allegedly commit crime,-0.8779,negative
expressed unconditional regret lok sabha panel revokes suspension congress mps three mps among suspended lok sabha dec disrupting proceedings house amid protests parliament security breach incident,-0.6597,negative
watch pm modi cleans kalaram temple premises nashik part swachhata abhiyan prime minister spoke importance swachhata abhiyan inaugurating national youth festival city,0.6908,positive
wife refusal physical relations husband amounts cruelty ground divorce madhya pradesh hc court also said never straight jacket formula fixed parameters determining mental cruelty matrimonial matters,-0.8543,negative
parliament session jan feb sitharaman present interim budget feb union budget presented finance minister nirmala sitharaman february union parliamentary affairs minister pralhad joshi said,0.0,neutral
l k advani attend ram temple consecration ceremony vhp president alok kumar advani joshi said would make every effort join ceremony ayodhya january vhp leader said statement december,0.296,positive
fog affects visibility rail traffic parts north india visibility levels dropped metres amritsar punjab lucknow varanasi uttar pradesh,0.0,neutral
sc refuses stay new law excluding cji panel picking cec ecs congress leaders jaya thakur sanjay meshram filed plea seeking interim stay new law saying provide independent mechanism appointing election commission india members,0.0,neutral
ayodhya ram temple event highlights urge everyone light shree ram jyoti houses january says pm modi ayodhya ram temple event highlights january pm modi set preside consecration ceremony ram temple ayodhya january,0.0,neutral
days go ayodhya ram temple opening pm modi starts special ritual lord made earlier addressing rally ayodhya pm modi appealed people country celebrate diwali houses january ram temple would consecrated,0.7506,positive
external affairs minister jaishankar us secretary state blinken discuss red sea attacks gaza ukraine indian leader jaishankar added exchanged perspectives developments pertaining ukraine conflict,-0.6369,negative
paediatric surgeon back classroom enrols phd iit kanpur prof ashok kumar working biological engineering aspect regenerative medicine iit kanpur said pleasantly surprised see dr gopal enthusiasm phd,0.7845,positive
conditions apply assam govt scheme women benefits children women limit set kids move line cm himanta push population norms,0.3818,positive
centre set roll vaccine drive fight cervical cancer besides cervical cancer vaccine also offers protection hpv strains cause cancer anus vagina oropharynx additionally also protects hpv strains responsible genital warts,-0.9485,negative
zero tolerance rights violations army chief j k civilian deaths ongoing military standoff china eastern ladakh said army primary aim go back status quo ante existed planning troops region,-0.296,negative
ganga mission gets power allow treated sewage water bodies move ensure water rivers says dg,0.5423,positive
ruckus fir lord ram posters dehradun store run muslim man according dehradun police officers group forcefully removed shop sign board religious posters,0.0,neutral
would lack minority tag hamper muslim women education sc amu institution national importance even without minority status says court,0.0516,positive
himachal ips officer moves sc hc order shifting hc december asked government shift kundu kangra superintendent police shalini agnihotri posts ensure fair probe businessman nishant sharma complaint threat life,-0.1779,negative
seize assets banned outfits centre j k organisations recently banned government,-0.6486,negative
indian army looks upgrade insulated pup tents icy heights along lac recently floated rfi army invited original equipment manufacturers authorised dealers participate upgradation process,0.3182,positive
sc quashes ngt order approves shimla development plan bjp cong vie credit setting aside ngt orders dated november july october bench justice br gavai justice aravind kumar permitted himachal pradesh instrumentalities proceed implementation plan,0.9022,positive
congress aap discuss lok sabha today want seats delhi aap announcement chaitar vasava candidature bharuch gone well congress,0.34,positive
mamata writes pm modi seeks classical language status bangla mamata banerjee said letter bengali second spoken language india spoken language world,0.0,neutral
malicious calls govt warns users dialling followed unknown mobile number explaining modus operandi scam dot said fraudster call telecom subscriber pretend customer service representative technical support staff,-0.7184,negative
cases covid reported states insacog telangana rajasthan recorded cases chhattisgarh recorded tamil nadu delhi haryana five odisha three west bengal two uttarakhand one,0.0,neutral
note crumpled tissue paper written suchana seth could prove crucial goa police probe suchana seth estranged husband venkatraman pr got married son following differences cropped marriage,0.0,neutral
minority status matter amu continues institute national importance asks sc constitution bench top court azeez basha versus union india case held since amu central university considered minority institution,0.5267,positive
nia raids places crackdown babbar khalsa international bishnoi gang seizures raids included two pistols two magazines ammunition along cash amounting rs lakh besides documents digital devices,0.0,neutral
day go missing father son among found dead manipur four men residents kumbi haotak area close bishnupur district border dominated churachandpur district,-0.7579,negative
indore surat named cleanest cities maharashtra cleanest state rankings take account collection waste segregation source cleanliness public areas clean water bodies citizens feedback regarding cleanliness cities,-0.0258,neutral
missing wildlife warden body found days accident dehradun rajaji tiger reserve park four people killed interceptor vehicle hit tree ahead chilla power house later chilla shakti canal parapet monday,-0.8689,negative
strategic interests india canada aligned high commissioner relations two countries saw bitterness last year following canadian prime minister justin trudeau allegation india suspected involvement killing khalistani separatist designated terrorist hardeep singh nijjar country,-0.9136,negative
deliver spotless lok sabha elections cec kumar tells state poll machinery review commission initiated andhra pradesh first state,0.0,neutral
pdp president mehbooba mufti meets road accident escapes unhurt per party officials driver car received injuries leg mufti way khanabal meet victims recent fire incident,-0.5574,negative
magnitude earthquake hits afghanistan tremors felt north india earthquake delhi mild tremors reported several parts delhi ncr,0.0,neutral
army chief foiling infiltration attempts along loc talks continue find resolution issues eastern ladakh speaking ensuing tension manipur chief army staff general manoj pande said manipur witnessed violence may last year combined efforts state administration army assam rifles able stabilise situation working normalise situation ensure stability,-0.5859,negative
swachh survekshan awards indore surat adjudged cleanest cities india maharashtra declared cleanest state according central government annual cleanliness survey,0.4588,positive
poppy straw cattle feed recent drug seizures point towards rise use psychotropic substances kg poppy straw cover cattle feed seized central bureau narcotics last one year,0.0,neutral
pannun assassination plot nikhil gupta case us govt refuses provide defence material till appearance court arraignment india already constituted probe committee investigate allegations,-0.5423,negative
four men go missing manipur fresh firing reported whereabouts still known identified dara singh ibomcha singh romen singh anand singh police said,-0.3182,negative
suchana seth booked hotel room longer texted husband day son murder seth caught karnataka chitradurga district allegedly trying flee cab son body stuffed bag,-0.6908,negative
ed summons nc president farooq abdullah questioning money laundering case summons asked abdullah former chief minister jammu kashmir depose ed office srinagar,-0.1027,negative
eu carbon tax india flags risk trade info getting compromised assumes significance india exports per cent total goods exports eu india exported goods worth billion eu,0.2263,positive
plot kill pannun ny court asks us govt show proof nikhil gupta charge november last year us department justice indictment filed federal court manhattan claimed indian official working gupta indian citizen foiled plot kill pannun,-0.7906,negative
states uts get equal chance display tableaux republic day parade govt year republic day parade kartavya path see participation upto per cent women marching contingents three defence services uniformed forces officials told indian express wednesday,0.34,positive
kg poppy straw seized madhya pradesh rajasthan drugs haul kg poppy straw husk left extraction opium pods seized authorities central bureau narcotics mainly states rajasthan madhya pradesh gujarat,0.0,neutral
cbi fir private companies rs loss psu vineet sharma c jain representatives power energy consultants gamesa wind turbines pvt ltd chennai siemens gamesa renewable power pvt ltd chennai also booked,-0.0516,negative
chhattisgarh cabinet approves free travel people ayodhya temple residents age group found medically fit eligible free travel scheme first phase years able avail facility,0.8957,positive
sc contempt notice io magistrate custody gujarat businessman court hearing plea businessman tusharbhai rajnikantbhai shah resident surat accused cheating case,-0.8625,negative
uk send navy ships indian ocean year defence secy two nations also discussed cooperation defence joint exercises knowledge sharing instructor exchanges building comprehensive strategic partnership envisaged roadmap announced,0.6808,positive
one nation one poll panel seeks views yet ask ec committee set law ministry september last week wrote former cecs seeking inputs administrative legal aspects according two sources aware development,0.128,positive
manipur govt clears congress yatra limits participation congress general secretary k c venugopal also said yatra political party preparing lok sabha elections simultaneously yatra scheduled begin january manipur capital imphal,0.4588,positive
duty every faithful attend ram temple consecration kerala hindu outfit national congress leadership wednesday declined invitation consecration ceremony,0.4404,positive
bjp scared congress says party manipur govt declines later permits start bharat jodo nyay yatra imphal bharat jodo nyay yatra organised ahead lok sabha election cover districts lok sabha seats days,-0.0516,negative
farmer injured wild bear attack tripura north district damcherra village tribal villagers area said six gone work jhum field came attack bear cubs live nearby cave,-0.836,negative
driver ferried suchana seth shares trip details traffic jam goa cop call finding police station exclusive rayjohn tells indian express suggested take flight came across traffic jam refused,0.128,positive
telangana governor tamilisai soundararajan accepts resignation tspsc chief members janardhan reddy tenure marred allegations question paper leaks irregularities conduct recruitment exams,0.0258,neutral
woman husband daughter killed father brother bihar bhagalpur married neighbour caste wishes parents according police,-0.5994,negative
hours police mediated return home young woman tamil nadu killed family marrying dalit man according fir found dead room january naveen lodged complaint january accusing aishwarya family murder,-0.9545,negative
mar raphael thattil new major archbishop church bishops church got consent election bishop raphael thattil vatican making official announcement kochi,0.2263,positive
odisha eow arrests fake job racket eow initiated enquiry connection advertisement published local vernacular daily fraud organisation named schools welfare society,-0.8689,negative
west bengal govt gives gun salute classical vocalist ustad rashid khan ustad rashid khan body flown birthplace uttar pradesh badaun body laid rest,-0.34,negative
omar abdullah sounds alarm jammu kashmir gulmarg faces barren winter devoid snow warmest year record according world meteorological organization warming el nino phenomenon probably going make even hotter,0.2263,positive
clearly event congress says attend ram mandir inauguration inauguration incomplete temple leaders bjp rss obviously brought forward electoral gain read statement,0.7269,positive
india imposes duty chinese products years according separate notifications central board indirect taxes customs cbic issued last month duties imposed gypsum lamination least one side,-0.1779,negative
goa police probing suchana seth gave cough syrup son smothering tuesday dr kumar naik government doctor conducted said child killed hours earlier smothered strangulated,-0.8316,negative
republic day preparations centre states spar rejection tableaux karnataka chief minister siddaramaiah called centre move insult towards kannadigas punjab cm bhagwant mann said central government suffering syndrome,-0.872,negative
sfi puts unwelcoming banners kerala governor ponnani ahead visit hartal idukki district called ldf protest kerala government land assignment amendment bill,-0.25,negative
amid opposition concerns tripura govt seek cbse nod bengali roman scripts kokborok exam tipra motha party leader animesh debbarma students option write kokborok language papers bengali script,0.4019,positive
bilkis bano case information yet surrender convicts says dahod sp convicts however incommunicado visiting relatives dahod superintendent police balram meena said tuesday,0.0,neutral
likely hike budget outlay mgnregs far billion person days work generated number could touch billion march,0.0772,positive
ahead lok sabha polls minister ashwini vaishnaw flags social media influence democratic processes highlighting social media platforms today follow content moderation policies also deploy algorithms dictate prominence content pieces get vaishnaw questioned whether safe harbour continue exist way originally envisaged,0.3612,positive
ubt sena sc affidavit questions impartiality deadline set sc narwekar pm january decide fate shinde mlas whose rebellion split sena led fall maha vikas aghadi government june,-0.128,negative
november male proposed president muizzu delhi visit consensus date new delhi male yet able decide date maldives president although diplomatic conversation underway,0.0,neutral
decision inconsequential govt amu centre sc january allahabad high court struck amendments made amu act university accorded minority status,-0.25,negative
sc regulation take away character minority institution point making essential point dhavan responded adding muslim muslim muslim simply constitution universities liberal element,0.0,neutral
chlorine leak dehradun leaves residents breathless soon getting information state disaster response force sdrf chemical biological radiological nuclear cbrn teams reached spot detectors rescue equipment,-0.4215,negative
mha seeks report bengal govt attacks ed officials tmc slams union ministry move accuses centre acting states,-0.6486,negative
students admitted medical colleges offline face cancellation threat nmc verifying records lakh admissions see ones genuine writes counselling bodies asking details students admitted national medical commission nmc mandated even leftover seats allotted last stray vacancy rounds allocated online based centralised merit list,-0.0772,negative
suchana seth case suchana seth questioning son reveal smothered hours earlier senior police officer involved questioning also said allegedly tried kill slitting wrists using pair scissors,-0.8126,negative
maoist hotbed odisha malkangiri gets air connectivity patnaik said airport would usher era development region open new avenues communication tourism trade malkangiri nearby areas arrived airport plane inauguration,0.0,neutral
j khand woman break vow silence inauguration ram temple saraswati devi started vow day babri masjid demolished promising break ram temple inaugurated family claimed,0.4019,positive
hurriyat chief mirwaiz umar farooq visits delhi first time since abrogation j k special status mirwaiz valley chief cleric put house arrest august day centre abrogated jammu kashmir special status,0.4588,positive
airlines complete checks max planes loose hardware dgca akasa air air india express spicejet together boeing max planes fleets,-0.3182,negative
maldives minister made derogatory remarks pm lakshadweep post wishes jaishankar birthday happy birthday esteemed minister external affairs jaishankar wishing year filled success positive diplomatic endeavors rameez posted x,0.9468,positive
